index,Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
104,Gawker (gawker.com),left,USA,https://www.gawker.com/,,gawker,1.0
105,Gay City News (gaycitynews.com),left,USA,https://gaycitynews.com/,,,
106,"Gay Star News (www.gaystarnews.com)
",left,United Kingdom (33/180 Press Freedom),https://www.gaystarnews.com/,GayStarNewsLtd,gaystarnews,1.0
107,Geopolitics Alert (geopoliticsalert.com),left,USA,https://geopoliticsalert.com/,,,
108,Gizmodo (gizmodo.com),left,USA (44/180 Press Freedom),https://gizmodo.com,UCxFmw3IUMDUC1Hh7qDjtjZQ,gizmodo,1.0
109,GLAAD (glaad.org),left,USA,https://www.glaad.org/,glaad,glaad,1.0
110,Global Voices (globalvoices.org),left,USA,https://globalvoices.org/,,globalvoices,1.0
111,Good Magazine (www.good.is),left,USA,https://www.good.is/,goodmagazine,good,1.0
112,GQ Magazine (www.gq.com),left,USA,https://www.gq.com,UCjfFAxLaJ_oGCjrFSGWI9vg,gq_germany,0.3333333333333333
113,Grasping Reality With Both Hands: Bradford Delong (www.bradford-delong.com),left,USA,http://www.bradford-delong.com/,,delong,0.5714285714285714
114,Green Left Weekly (www.greenleft.org.au),left,Australia,https://www.greenleft.org.au,,greenleftonline,0.75
115,Grit Post (gritpost.com),left,USA,https://gritpost.com,,,
116,Guardian Liberty Voice (guardianlv.com),left,USA,https://guardianlv.com/,,,
117,Guardians of Democracy (theguardiansofdemocracy.com),left,USA,https://theguardiansofdemocracy.com/,UCOzT3fyPN7uTGUIha0YIl_g,guardemocracy,0.7222222222222222
118,Haaretz (www.haaretz.com),left,Israel (86/180 Press Freedom),https://www.haaretz.com/,,haaretzcom,0.8235294117647058
119,High Times (hightimes.com),left,USA,https://hightimes.com/,UCFQ7vc-dWlSUZd6OqsAepMA,high_times_mag,0.782608695652174
120,Hill Reporter (hillreporter.com),left,USA,https://hillreporter.com,,anteksiler,0.3636363636363636
121,Huffington Post (www.huffingtonpost.com),left,USA,https://www.huffpost.com/,,,
122,Human Rights Campaign (www.hrc.org),left,USA (44/180 Press Freedom),https://www.hrc.org,,,
123,In Defence of Marxism (www.marxist.com),left,United Kingdom (33/180 Press Freedom),https://www.marxist.com/,,,
124,In These Times (inthesetimes.com),left,USA,https://inthesetimes.com/,,inthesetimesmag,0.8888888888888888
125,Independent Florida Alligator (alligator.org),left,USA,https://www.alligator.org/,,thealligator,0.8571428571428571
126,Inequality Media (www.inequalitymedia.org),left,USA,https://www.inequalitymedia.org/,,,
127,Informed Comment (Juan Cole) (www.juancole.com),left,USA (44/180 Press Freedom),https://www.juancole.com,,infcomment,0.4444444444444444
128,Institute for Policy Studies (www.ips-dc.org),left,USA (44/180 Press Freedom),https://ips-dc.org/,,ips_dc,0.8333333333333334
129,International Policy Institute (intpolicydigest.org),left,USA,https://intpolicydigest.org/,,intpolicydigest,1.0
130,International Viewpoint (www.internationalviewpoint.org),left,United Kingdom,https://internationalviewpoint.org/,,,
131,Intrepid Report (www.intrepidreport.com),left,USA,http://www.intrepidreport.com/,,,
132,Iowa Capital Dispatch (iowacapitaldispatch.com),left,USA,https://iowacapitaldispatch.com/,,,
133,Iowa Starting Line (iowastartingline.com),left,USA,https://iowastartingline.com,,iastartingline,0.9333333333333332
134,It’s Going Down (itsgoingdown.org),left,USA,https://itsgoingdown.org/,ItsGoingDown,igd_news,0.4
135,Jacobin (www.jacobinmag.com),left,USA (45/180 Press Freedom),https://www.jacobinmag.com/,,jacobin,0.8235294117647058
136,Jezebel (jezebel.com),left,USA,https://jezebel.com/,UCI4iIRZltBUQITyvCXz_PZg,jezebel,1.0
137,Latest.com (latest.com),left,USA,https://latest.com,,latest_com,0.75
138,Lavender Magazine (www.lavendermagazine.com),left,USA,https://www.lavendermagazine.com/,,,
139,LA Weekly (laweekly.com),left,USA,https://www.laweekly.com/,,laweekly,1.0
140,Left Foot Forward (leftfootforward.org),left,United Kingdom (44/180 Press Freedom),https://leftfootforward.org/,,,
141,Left Over Rights (leftoverrights.com),left,,http://leftoverrights.com/,,,
142,Left Voice (www.leftvoice.org),left,USA (44/180 Press Freedom),http://www.leftvoice.org,UClUHLX_Rd-SNOl8Ws2C_EJQ,left_voice,0.9473684210526316
143,LeftScoop (www.leftscoop.com),left,,https://www.leftscoop.com/,,,
144,LGBTQ Nation (www.lgbtqnation.com),left,USA,https://www.lgbtqnation.com/,lgbtqnation,lgbtqnation,1.0
145,Libcom.org (libcom.org),left,USA (44/180 Press Freedom),http://libcom.org,,libcomorg,0.8
146,Liberal America (liberalamerica.life),left,USA,http://liberalamerica.org/,,,
147,Liberation News (www.liberationnews.org),left,USA (44/180 Press Freedom),https://www.liberationnews.org/,,,
148,Little Green Footballs (littlegreenfootballs.com),left,USA,http://littlegreenfootballs.com/,,green_footballs,0.8
149,Mail & Guardian (mg.co.za),left,South Africa,https://mg.co.za/about-us/,,,
150,"Maine Beacon (mainebeacon.com)
",left,USA (44/180 Press Freedom),http://mainebeacon.com/,,,
151,Mashable (mashable.com),left,USA,https://mashable.com,,mashable,1.0
152,Media Matters (mediamatters.org),left,USA (44/180 Press Freedom),https://www.mediamatters.org,UC_70iWZ6ym2cglS_kv5YfmA,mmfa,0.25
153,Mediaite (www.mediaite.com),left,USA (44/180 Press Freedom),https://www.mediaite.com/,,,
154,Meduza (meduza.io),left,Latvia,https://meduza.io/en,,meduza_en,0.8
155,MeidasTouch (meidastouch.com),left,USA,https://www.meidastouch.com/,UC9r9HYFxEQOBXSopFS61ZWg,meiselasb,0.5
156,Merry Jane (www.merryjane.com),left,USA (45/180 Press Freedom),https://www.merryjane.com/,,,
157,Miami New Times (www.miaminewtimes.com),left,USA (45/180 Press Freedom),http://www.miaminewtimes.com/,,miaminewtimes,1.0
158,Middle East Monitor (www.middleeastmonitor.com),left,United Kingdom,https://www.middleeastmonitor.com/,,,
159,"Middletown Media (www.muncievoice.com)
",left,USA (44/180 Press Freedom),https://muncievoice.com/,,muncievoice,1.0
